what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1423793022105
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1423793022105
os,sysinfo,,,"linux",1423793022108
arch,sysinfo,,,"x86_64",1423793022108
ws,sysinfo,,,"gtk",1423793022108
locale,sysinfo,,,"en_US",1423793022108
processors,sysinfo,,,"2",1423793022109
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1423793022109
java.runtime.version,sysinfo,,,"1.6.0_34-b34",1423793022109
java.specification.name,sysinfo,,,"Java Platform API Specification",1423793022109
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1423793022109
java.specification.version,sysinfo,,,"1.6",1423793022109
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1423793022109
java.version,sysinfo,,,"1.6.0_34",1423793022109
java.vm.info,sysinfo,,,"mixed mode",1423793022109
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1423793022109
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1423793022109
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1423793022109
java.vm.specification.version,sysinfo,,,"1.0",1423793022109
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1423793022109
java.vm.version,sysinfo,,,"23.25-b01",1423793022109
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1423793022128
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1423793022439
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1423793022477
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1423793022493
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1423793022817
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1423793022825
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1423793022840
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1423793022843
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1423793022877
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1423793022879
started,bundle,com.android.ide.eclipse.base,22.0.5.v201307292155--757759,"com.android.ide.eclipse.base",1423793022925
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1423793022930
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1423793022953
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1423793023034
started,bundle,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.adt",1423793023068
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1423793023099
started,bundle,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms",1423793023156
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1423793023181
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1423793023327
